iter	RMSE
0	429188.8505
1	409346.7036
2	389639.9573
3	373213.1248
4	356579.5629
5	343436.5849
6	333146.6931
7	321119.0489
8	310381.3904
9	302812.7285
10	294403.5375
11	287575.8261
12	280467.2672
13	272895.0931
14	267142.4517
15	261250.9869
16	256854.661
17	250443.2169
18	244553.297
19	241374.2033
20	237029.2872
21	232634.9257
22	228809.4387
23	225015.311
24	222238.8876
25	219094.2642
26	216810.9505
27	214016.1564
28	212272.479
29	209267.1595
30	206742.9944
31	205114.2124
32	203083.3517
33	201856.859
34	200454.2985
35	199297.1152
36	198360.9833
37	196468.0775
38	193779.9456
39	191958.3982
40	190046.6005
41	188015.3615
42	186831.401
43	185471.5417
44	184249.8181
45	183108.2162
46	181068.4845
47	179583.2238
48	178573.5554
49	177908.9963
50	176774.1016
51	175625.138
52	174906.1166
53	174309.0457
54	172946.0165
55	172306.4506
56	171494.0394
57	170708.688
58	170260.7395
59	169036.8743
60	167760.4357
61	166707.2086
62	165656.6782
63	165115.3185
64	164301.5649
65	163420.9418
66	162881.5872
67	162323.4496
68	161873.3404
69	161184.7158
70	160466.1206
71	160115.7077
72	159872.5218
73	159058.7912
74	158711.2884
75	157366.6179
76	156506.7598
77	156179.2663
78	155539.4408
79	155165.9572
80	154839.0826
81	153863.9728
82	153613.3343
83	152728.2802
84	151884.3707
85	151535.4399
86	151255.842
87	151119.5085
88	150926.3228
89	150768.5465
90	150594.9913
91	150009.6937
92	149053.3943
93	148831.3581
94	148642.5282
95	148121.9181
96	147983.7129
97	147853.6402
98	147722.3504
99	146999.7675
100	145816.607
101	145400.52
102	145231.4236
103	145125.5538
104	144417.8254
105	144320.6351
106	144223.5725
107	144126.5361
108	144042.5668
109	143956.9664
110	143408.565
111	143332.9477
112	143026.6778
113	142952.9979
114	142882.5736
115	142214.7395
116	142047.5268
117	140888.1735
118	140484.4953
119	140230.1649
120	139641.2315
121	139582.5893
122	139153.1239
123	138632.3851
124	138181.9539
125	138115.2013
126	138009.5284
127	137906.3329
128	136952.6448
129	136276.094
130	136221.8141
131	136176.3837
132	136121.0148
133	135023.6202
134	134925.8981
135	134848.2642
136	134749.5477
137	134071.7255
138	134004.4609
139	133764.7119
140	133248.725
141	133217.5663
142	133052.9014
143	132901.3665
144	132594.4622
145	132231.5628
146	131290.9375
147	131260.2015
148	131201.5465
149	130932.8448
150	130548.9205
151	130292.2514
152	130195.0393
153	129954.0324
154	128987.2597
155	128799.3129
156	128137.2034
157	127704.9088
158	127689.8401
159	127576.4275
160	127472.1272
161	127100.3854
162	127056.2482
163	127011.7544
164	126731.477
165	126541.2062
166	126384.8368
167	126091.83
168	125869.2604
169	125526.1668
170	125221.9082
171	124203.1831
172	124157.9142
173	123727.2932
174	123452.5483
175	123148.0822
176	122973.7658
177	122789.2216
178	122773.9627
179	122441.7306
180	121975.5325
181	121873.6021
182	121419.5436
183	121226.9571
184	120963.2075
185	120944.1689
186	120759.6737
187	120333.7869
188	120063.0193
189	119800.077
190	119301.3589
191	119138.7946
192	119094.3386
193	119057.5171
194	118703.8985
195	118330.4189
196	118160.2584
197	118086.4701
198	117949.857
199	117520.3101
200	117229.2997
201	117042.1955
202	116670.5971
203	116540.673
204	116256.947
205	115898.4694
206	115877.706
207	115349.7187
208	115171.2183
209	115106.676
210	114863.7061
211	114611.3481
212	114507.5081
213	113972.2242
214	113772.8576
215	113622.7062
216	113482.2955
217	113282.5891
218	113067.9947
219	113030.7644
220	112623.3519
221	112538.0667
222	112221.6753
223	112096.1596
224	111963.5305
225	111765.1061
226	111721.4161
227	111586.5197
228	111492.4778
229	111319.6029
230	111149.6377
231	110892.8603
232	110759.0226
233	110459.1011
234	110227.1563
235	110205.0486
236	110030.3211
237	110024.4092
238	109538.3932
239	109287.7817
240	108881.2738
241	108620.1947
242	107862.9934
243	107688.304
244	107670.0063
245	107399.5987
246	107237.1931
247	107200.3545
248	106995.4497
249	106967.4843
250	106924.1339
251	106515.5306
252	106409.1152
253	106239.7419
254	106214.0669
255	106174.242
256	106106.0814
257	106054.3226
258	106000.4233
259	105700.993
260	105639.4291
261	105507.578
262	105472.1979
263	105176.842
264	105061.7145
265	104962.3084
266	104835.8258
267	104709.12
268	104567.8853
269	104086.832
270	104023.9989
271	103765.1272
272	103650.3882
273	103531.2105
274	103351.9586
275	103245.714
276	102988.7171
277	102944.7636
278	102820.6533
279	102766.4987
280	102687.0607
281	102537.7923
282	102474.3198
283	102273.2567
284	102169.0555
285	102070.6699
286	102031.4339
287	101622.091
288	101543.759
289	101455.4079
290	100782.6647
291	100672.8431
292	100633.5905
293	100439.8735
294	100385.9554
295	100276.9754
296	100221.1678
297	100161.925
298	100075.9232
299	100004.3646
300	99888.88742
301	99862.63116
302	99653.09648
303	99537.28595
304	99502.49775
305	99281.93866
306	99229.38353
307	98926.44827
308	98827.31499
309	98715.56094
310	98622.77983
311	98534.34727
312	98474.98182
313	98400.66744
314	98289.62393
315	98108.7927
316	97968.72912
317	97885.12043
318	97772.03745
319	97741.90166
320	97611.10096
321	97549.40789
322	97403.23806
323	97131.67492
324	96919.3478
325	96803.17848
326	96728.30599
327	96375.11871
328	96347.06518
329	96187.91805
330	96009.67539
331	95936.8125
332	95881.5244
333	95771.04733
334	95457.54714
335	95411.06683
336	95378.1016
337	95350.01778
338	95298.26654
339	95118.7064
340	95009.48656
341	94975.15762
342	94922.98259
343	94884.29027
344	94835.409
345	94739.11245
346	94266.79622
347	94169.26502
348	93934.67237
349	93875.8934
