iter	Passed	Remaining
0	57	20220
1	58	10238
2	59	6904
3	61	5276
4	62	4299
5	62	3610
6	63	3112
7	64	2738
8	64	2456
9	65	2226
10	66	2062
11	67	1897
12	68	1765
13	68	1648
14	69	1559
15	70	1469
16	71	1401
17	72	1332
18	72	1267
19	73	1211
20	74	1161
21	74	1113
22	75	1068
23	75	1027
24	75	987
25	76	954
26	77	922
27	77	892
28	78	864
29	78	840
30	79	818
31	79	794
32	80	775
33	81	757
34	82	738
35	82	721
36	83	705
37	83	688
38	84	673
39	85	664
40	86	650
41	86	637
42	87	623
43	87	610
44	88	597
45	88	585
46	89	575
47	89	564
48	90	555
49	91	547
50	91	538
51	92	528
52	93	524
53	94	516
54	94	507
55	95	500
56	95	492
57	97	489
58	97	482
59	98	475
60	98	468
61	99	461
62	99	455
63	100	449
64	101	442
65	101	436
66	102	431
67	102	425
68	103	420
69	103	415
70	104	409
71	104	404
72	105	399
73	105	394
74	107	392
75	107	388
76	108	383
77	109	381
78	110	379
79	111	374
80	111	370
81	112	367
82	113	363
83	113	360
84	114	356
85	114	352
86	115	348
87	116	345
88	116	342
89	117	338
90	117	334
91	118	331
92	119	329
93	119	326
94	120	322
95	120	319
96	121	317
97	122	313
98	122	310
99	123	307
100	123	304
101	124	301
102	124	298
103	125	296
104	126	294
105	126	292
106	127	289
107	127	286
108	128	284
109	128	281
110	129	278
111	129	276
112	130	273
113	130	270
114	131	268
115	132	268
116	134	267
117	135	265
118	135	263
119	136	262
120	137	260
121	138	257
122	138	255
123	138	253
124	139	250
125	139	248
126	140	246
127	140	244
128	141	242
129	141	239
130	142	237
131	142	235
132	143	233
133	143	231
134	144	229
135	145	228
136	145	226
137	146	224
138	146	222
139	147	220
140	147	218
141	148	216
142	148	215
143	149	213
144	149	211
145	150	209
146	150	208
147	151	207
148	152	205
149	152	203
150	153	202
151	155	202
152	156	200
153	156	199
154	158	199
155	158	197
156	159	196
157	160	194
158	160	193
159	161	191
160	162	190
161	162	188
162	163	187
163	163	185
164	164	184
165	164	182
166	166	181
167	166	180
168	166	178
169	167	177
170	168	176
171	168	174
172	169	173
173	169	171
174	171	171
175	171	169
176	172	168
177	173	167
178	174	166
179	174	164
180	175	163
181	175	162
182	176	161
183	177	159
184	177	158
185	178	157
186	179	156
187	179	154
188	180	153
189	180	152
190	181	150
191	181	149
192	182	148
193	182	146
194	183	145
195	183	144
196	183	142
197	184	141
198	185	140
199	185	139
200	186	138
201	186	136
202	187	135
203	188	134
204	189	133
205	189	132
206	190	131
207	190	130
208	191	129
209	191	127
210	192	126
211	193	125
212	193	124
213	194	123
214	195	122
215	195	121
216	196	120
217	196	119
218	197	118
219	197	116
220	198	115
221	199	114
222	199	113
223	200	112
224	201	112
225	202	111
226	203	110
227	204	109
228	204	108
229	205	107
230	205	106
231	206	105
232	206	103
233	207	102
234	208	101
235	208	100
236	209	99
237	209	98
238	210	97
239	210	96
240	211	95
241	212	94
242	213	94
243	214	93
244	215	92
245	215	91
246	216	90
247	217	89
248	217	88
249	218	87
250	219	86
251	219	85
252	220	84
253	220	83
254	221	82
255	222	81
256	222	80
257	223	79
258	224	78
259	224	77
260	225	76
261	226	75
262	226	75
263	227	74
264	228	73
265	228	72
266	229	71
267	229	70
268	230	69
269	230	68
270	231	67
271	232	66
272	232	65
273	233	64
274	233	63
275	234	62
276	235	62
277	236	61
278	236	60
279	237	59
280	237	58
281	238	57
282	239	56
283	240	55
284	240	54
285	241	53
286	241	53
287	242	52
288	242	51
289	243	50
290	243	49
291	244	48
292	244	47
293	245	46
294	246	46
295	247	45
296	248	44
297	248	43
298	249	42
299	250	41
300	250	40
301	251	39
302	252	39
303	252	38
304	253	37
305	253	36
306	254	35
307	254	34
308	255	33
309	256	33
310	257	32
311	257	31
312	258	30
313	258	29
314	259	28
315	259	27
316	260	27
317	260	26
318	261	25
319	262	24
320	262	23
321	263	22
322	263	22
323	264	21
324	265	20
325	265	19
326	266	18
327	266	17
328	267	17
329	268	16
330	269	15
331	270	14
332	270	13
333	271	13
334	272	12
335	273	11
336	273	10
337	274	9
338	274	8
339	275	8
340	276	7
341	276	6
342	277	5
343	277	4
344	278	4
345	279	3
346	280	2
347	280	1
348	281	0
349	281	0
