name,year,moto_type,place,price,volume,distance,fuel,engine_type
Kawasaki 1400GTR,2008,Спортивно-туристический мотоцикл,Казань,500000,1600,136000,бензин,4-тактный
Yamaha BOLT 950R,2015,Чоппер,Казань,795000,950,2800,бензин,4-тактный
Yamaha Roadstar Warrior,2002,Круизер,Новосибирск,650000,1700,40000,бензин,4-тактный
Турист Турист,1960,Кастомный мотоцикл,Тюмень,300000,200,1250,бензин,2-тактный
Ducati Streetfighter V4,2021,Стритфайтер,Япония → Владивосток,1890000,1100,8622,бензин,4-тактный
BSE Z8,2024,Кроссовый мотоцикл,Чита,350000,300,1242,бензин,4-тактный
Yamaha FZ 400,1997,Спортивно-туристический мотоцикл,Барнаул,210000,400,59000,бензин,4-тактный
Racer Magnum RC200-C5B,2025,Классический мотоцикл,Чита,140000,200,1400,бензин,4-тактный
Hammer Wolf 72,2026,Эндуро,Красноярск,150000,300,1,бензин,4-тактный
Progasi Super Max 300 Pro,2025,Эндуро,Петровск-Забайкальский,195999,300,1600,бензин,4-тактный
Yamaha TDM 850,1999,Спортивно-туристический мотоцикл,Владивосток,330000,849,45000,бензин,4-тактный
Harley-Davidson CVO Electra Glide,2014,Круизер,Владивосток,1250000,1800,64000,бензин,4-тактный
Yamaha MT-09 Tracer,2015,Спортивно-туристический мотоцикл,Белово,680000,900,47600,бензин,4-тактный
Yamaha FZ,1997,Спортивно-туристический мотоцикл,Владивосток,165000,399,40000,бензин,4-тактный
Yamaha TDM 900,2003,Туристический мотоцикл,Владивосток,440000,899,46147,бензин,4-тактный
Zuumav FX K5 Lite,2024,Эндуро,Ульяновск,140000,250,1000,бензин,4-тактный
Ducati Streetfighter 848,2012,Спортивный мотоцикл,Япония → Владивосток,470000,848,15774,бензин,4-тактный
Yamaha V-Max,2004,Классический мотоцикл,Япония → Владивосток,420000,1200,19116,бензин,4-тактный
Honda NC 700X,2012,Турэндуро,Япония → Владивосток,415000,700,23639,бензин,4-тактный
Yamaha Dragstar / V-Star / XVS,2011,Круизер,Япония → Владивосток,520000,1100,11195,бензин,4-тактный
Ducati Diavel Dark,2013,Круизер,Япония → Владивосток,720000,1200,14775,бензин,4-тактный
Ducati XDiavel,2018,Круизер,Япония → Владивосток,1330000,1262,13003,бензин,4-тактный
Honda NC 750S,2016,Стритфайтер,Япония → Владивосток,370000,750,15153,бензин,4-тактный
Ducati Streetfighter V4 S,2024,Стритфайтер,Япония → Владивосток,1785000,1100,2553,бензин,4-тактный
Yamaha TDM 900,2004,Спортивно-туристический мотоцикл,Япония → Владивосток,350000,900,26624,бензин,4-тактный
Ducati Supersport 950 S,2023,Спортивный мотоцикл,Япония → Владивосток,830000,937,8371,бензин,4-тактный
Suzuki GSR 400,2009,Спортивный мотоцикл,Япония → Владивосток,350000,400,29831,бензин,4-тактный
Yamaha YZF-R1,2006,Спортивный мотоцикл,Япония → Владивосток,570000,1000,56429,бензин,4-тактный
Ducati Streetfighter V4 S,2021,Стритфайтер,Япония → Владивосток,1630000,1100,3166,бензин,4-тактный
Kawasaki VN Vulcan 1500,2006,Круизер,Владивосток,520000,1500,20000,бензин,4-тактный
Yamaha Dragstar / V-Star / XVS,2005,Круизер,Япония → Владивосток,440000,1100,47751,бензин,4-тактный
Yamaha Dragstar / V-Star / XVS,2010,Круизер,Япония → Владивосток,550000,1100,25209,бензин,4-тактный
Honda NC 750X,2014,Турэндуро,Япония → Владивосток,455000,750,11078,бензин,4-тактный
Kawasaki Ninja 1000,2019,Спортивно-туристический мотоцикл,Елизово,1100000,1043,20000,бензин,4-тактный
Suzuki GSX-R 600,2006,Спортивный мотоцикл,Хабаровск,450000,600,1,бензин,4-тактный
Ducati Panigale V4 S,2018,Спортивный мотоцикл,Япония → Владивосток,1860000,1100,1958,бензин,4-тактный
Triumph Tiger 900 Rally Pro,2023,Турэндуро,Япония → Владивосток,1250000,900,2027,бензин,4-тактный
